open hourlylog at Fri Aug 26 04:00:09 2016
BR   13265, BW   39621, S  10, BR/S    1326, BW/S    3962
BR   13820, BW   41460, S  10, BR/S    1382, BW/S    4146
BR   11310, BW   33930, S  10, BR/S    1131, BW/S    3393
BR    8471, BW   25413, S  10, BR/S     847, BW/S    2541
BR    9895, BW   29685, S  10, BR/S     989, BW/S    2968
BR    5030, BW   10665, S  10, BR/S     503, BW/S    1066
BR    4545, BW    4545, S  10, BR/S     454, BW/S     454
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6040, BW    6040, S  10, BR/S     604, BW/S     604
BR    5995, BW    5995, S  10, BR/S     599, BW/S     599
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6003, BW    6003, S  10, BR/S     600, BW/S     600
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    5980, BW    5980, S  10, BR/S     598, BW/S     598
BR    6049, BW    6049, S  10, BR/S     604, BW/S     604
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6000, BW    6000, S  10, BR/S     600, BW/S     600
BR    6010, BW    6010, S  10, BR/S     601, BW/S     601
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6010, BW    6010, S  10, BR/S     601, BW/S     601
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6010, BW    6010, S  10, BR/S     601, BW/S     601
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6010, BW    6010, S  10, BR/S     601, BW/S     601
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6031, BW    6031, S  10, BR/S     603, BW/S     603
BR    6098, BW    6098, S  10, BR/S     609, BW/S     609
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6000, BW    6000, S  10, BR/S     600, BW/S     600
BR   13920, BW   11758, S  10, BR/S    1392, BW/S    1175
BR    4515, BW       0, S  10, BR/S     451, BW/S       0
BR    1210, BW       0, S  10, BR/S     121, BW/S       0
BR     490, BW       0, S  10, BR/S      49, BW/S       0
BR    1290, BW       0, S  10, BR/S     129, BW/S       0
BR     175, BW       0, S  10, BR/S      17, BW/S       0
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR    1572, BW    4880, S  10, BR/S     157, BW/S     488
BR   14520, BW   43560, S  10, BR/S    1452, BW/S    4356
BR   14185, BW   42555, S  10, BR/S    1418, BW/S    4255
BR   14065, BW   42195, S  10, BR/S    1406, BW/S    4219
BR   13830, BW   41490, S  10, BR/S    1383, BW/S    4149
BR   13850, BW   41550, S  10, BR/S    1385, BW/S    4155
BR   13710, BW   41130, S  10, BR/S    1371, BW/S    4113
BR   13675, BW   41025, S  10, BR/S    1367, BW/S    4102
BR   13735, BW   41205, S  10, BR/S    1373, BW/S    4120
BR   13915, BW   41745, S  10, BR/S    1391, BW/S    4174
BR   13909, BW   41205, S  10, BR/S    1390, BW/S    4120
BR   11126, BW   33204, S  10, BR/S    1112, BW/S    3320
BR    5465, BW   16395, S  10, BR/S     546, BW/S    1639
BR    5344, BW   16032, S  10, BR/S     534, BW/S    1603
BR    4898, BW   14694, S  10, BR/S     489, BW/S    1469
BR    4995, BW   14985, S  10, BR/S     499, BW/S    1498
close hourlylog at Fri Aug 26 04:16:03 2016
append hourlylog at Fri Aug 26 04:16:37 2016
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR     106, BW      23, S  10, BR/S      10, BW/S       2
BR     386, BW    1617, S  10, BR/S      38, BW/S     161
BR   14680, BW   44040, S  10, BR/S    1468, BW/S    4404
BR   14235, BW   42705, S  10, BR/S    1423, BW/S    4270
BR   14145, BW   42435, S  10, BR/S    1414, BW/S    4243
BR   13635, BW   40905, S  10, BR/S    1363, BW/S    4090
BR   13870, BW   41610, S  10, BR/S    1387, BW/S    4161
