open daylog at Thu Apr 06 04:22:11 2017
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR    4312, BW    4473, S  10, BR/S     431, BW/S     447
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6010, BW    6010, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6083, BW    6025, S  10, BR/S     608, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6063, BW    6005, S  10, BR/S     606, BW/S     600
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
close daylog at Thu Apr 06 04:26:33 2017
