open hourlylog at Tue Jun 27 05:00:40 2017
BR    2202, BW    2363, S  10, BR/S     220, BW/S     236
BR    6360, BW    6360, S  10, BR/S     636, BW/S     636
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6078, BW    6020, S  10, BR/S     607, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6055, BW    5997, S  10, BR/S     605, BW/S     599
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6083, BW    6025, S  10, BR/S     608, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6078, BW    6020, S  10, BR/S     607, BW/S     602
BR    6005, BW    6005, S  10, BR/S     600, BW/S     600
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    5445, BW    4918, S  10, BR/S     544, BW/S     491
close hourlylog at Tue Jun 27 05:05:57 2017
